,pDN_00,pDN_01,pDN_02,pDN_03,pDN_04,pDN_05,pDN_06,pDN_07,pDN_08,pDN_09,pDN_10,pDN_11,pDN_12,pDN_13,pDN_14,pDN_15,pDN_16,pDN_17,pDN_18,pDN_19,pDN_20,pDN_21,pDN_22,pDN_23,pDN_24,pDN_25,pDN_26,pDN_27,pDN_28,pDN_29,pDN_30,pDN_31,pDN_32,pDN_33,pDN_34,pDN_35,pDN_36,pDN_37,pDN_38,pDN_39,pDN_40,pDN_41,pDN_42,pDN_43,pDN_44,pDN_45,pDN_46,pDN_47,pDN_48,pDN_49,pDN_50,pDN_51,pDN_52,pDN_53,pDN_54,pDN_55,pDN_56,pDN_57,pDN_58,pDN_59,pDN_60,pDN_61,pDN_62,pDN_63,qDN_00,qDN_01,qDN_02,qDN_03,qDN_04,qDN_05,qDN_06,qDN_07,qDN_08,qDN_09,qDN_10,qDN_11,qDN_12,qDN_13,qDN_14,qDN_15,qDN_16,qDN_17,qDN_18,qDN_19,qDN_20,qDN_21,qDN_22,qDN_23,qDN_24,qDN_25,qDN_26,qDN_27,qDN_28,qDN_29,qDN_30,qDN_31,qDN_32,qDN_33,qDN_34,qDN_35,qDN_36,qDN_37,qDN_38,qDN_39,qDN_40,qDN_41,qDN_42,qDN_43,qDN_44,qDN_45,qDN_46,qDN_47,qDN_48,qDN_49,qDN_50,qDN_51,qDN_52,qDN_53,qDN_54,qDN_55,qDN_56,qDN_57,qDN_58,qDN_59,qDN_60,qDN_61,qDN_62,qDN_63
PCA_0,-0.098945967088,-0.0,-0.0,-0.0111074537093,-0.0161764704474,-0.00530948931853,0.0324315816269,0.0588287136767,0.0750304460985,0.0807627058211,0.0808260675937,0.0840296532361,0.0860310868047,0.0871425988214,0.0890058760901,0.0921187014216,0.0874434623248,0.0815542446846,0.0822178128512,0.0754963223371,0.073476956124,0.0407587688185,0.0283605451076,0.0415927719931,0.0967821573601,0.0934597109567,0.0922714616545,0.0926954270527,0.0974224603834,0.084126598362,0.0932607319033,0.0830744889763,0.0754857251264,0.0818199792713,0.0746384682938,0.080747997768,0.0800830326276,0.0647058342212,0.0742962816932,0.048973420419,0.0760718606263,0.0648046137468,0.0777425288146,0.0678172725119,0.0455310379574,0.0677461038821,0.0647074175775,0.0702002047202,0.0518303966196,0.0444398571125,0.0666895344244,0.0737652460721,0.0489529706876,0.0483324728828,0.0601203932367,0.0583977541593,0.0569093336211,0.0484011303379,0.0545688931448,0.0523001974583,0.0469073961652,0.0420600178318,0.0416936384536,0.00469622783612,-0.0514573734295,-0.0,-0.0,0.00328015949584,0.00712725021269,0.0199411812442,0.0429152466265,0.0615244377309,0.075110365719,0.0874979128099,0.0939415849414,0.0968401512059,0.100506048276,0.102519124353,0.104573958015,0.107564890569,0.111840538295,0.11469256947,0.114788725076,0.115165170419,0.117915375895,0.118590493381,0.116841279933,0.119062075525,0.118989742496,0.119550685179,0.119886306353,0.119407816228,0.120203883505,0.119115979313,0.11911213321,0.1188843855,0.120006746465,0.119650811498,0.116955819695,0.11803647503,0.117904876279,0.118703854059,0.115880383018,0.113212578188,0.115405570685,0.115940778463,0.115267829409,0.114675607921,0.108752390092,0.108206426367,0.114126942756,0.111368438155,0.110385678403,0.110476232653,0.11031955641,0.111963550403,0.110072844488,0.109871287164,0.10969239286,0.110802789185,0.111144069379,0.109294313225,0.107865282385,0.109627345583,0.105632336427,0.105973076753,0.100938777503,0.0743397988321
PCA_1,0.00420642357019,2.04697370165e-16,1.2490009027e-16,-0.0110008817109,-0.0411939324467,-0.0685328130977,-0.0858155346694,-0.0858010013177,-0.0756549362924,-0.0566983018052,-0.0412180080017,-0.0288547113746,-0.0181330892009,-0.00304643461466,0.00465708880029,0.0119947279607,0.0343610796887,0.0382909208095,0.0489653431519,0.034749500538,0.0455675083883,0.0365101010618,0.0208543853159,0.043692740138,0.0862684742278,0.0983568524309,0.0871347807618,0.109078688256,0.108731816556,0.11660296154,0.117232807707,0.129913336836,0.138521342188,0.143502262362,0.13643276003,0.129166147798,0.142230168309,0.132305950327,0.137445343053,0.113663757891,0.134748965211,0.1387903116,0.145836993233,0.152914697198,0.10892287199,0.143288692711,0.13462834272,0.142688850203,0.156657171335,0.110500474538,0.158878848319,0.138773962427,0.151574992726,0.155388386397,0.122954416682,0.14294886999,0.151335038812,0.142136216193,0.143351267795,0.150298754251,0.148729240408,0.144665923071,0.140218924773,0.0691440414292,-0.0320237106003,-0.0,-0.0,-0.0381728826853,-0.0693960440196,-0.0926209097799,-0.106928889747,-0.113721383447,-0.114048911109,-0.110103011583,-0.102209422893,-0.0953148461835,-0.0897469967436,-0.0861528393923,-0.0840545682089,-0.0840776861027,-0.083303411971,-0.0813804445668,-0.0816362363692,-0.0808892153011,-0.0768845520757,-0.0772772208773,-0.0783337566731,-0.0766437660812,-0.0746017981303,-0.0685301058778,-0.0685597393112,-0.0693463844364,-0.0688003772704,-0.0602647786243,-0.0635986559767,-0.0597103727636,-0.0549555601197,-0.0561565256037,-0.0551918494274,-0.0549659399836,-0.0526396435099,-0.0471852549492,-0.049939662226,-0.0462916989446,-0.0419020869602,-0.0390356383716,-0.048117565845,-0.0410365014901,-0.0480384259061,-0.0361355216225,-0.0414468905739,-0.0405642267016,-0.0228755830078,-0.0401722939013,-0.0357596731041,-0.0362042296888,-0.026712742807,-0.0212402269223,-0.0216983186158,-0.029420046246,-0.0203883294202,-0.0173067710505,-0.0257548282897,-0.0120438605124,-0.00520716112249,-0.00131009416472,-0.000876944828617,0.0322764225403
PCA_2,-0.0610506310434,5.55111512313e-17,-1.11022302463e-16,-0.0257475304572,-0.0845293884913,-0.108747456693,-0.0672306550714,0.00533093320798,0.0749149019244,0.136392353329,0.170832739654,0.189985808697,0.202203225484,0.208016400257,0.210913375007,0.202973998528,0.200119717316,0.187973518914,0.191743325773,0.167166622989,0.1468953959,0.123036161393,0.097861639506,0.107219038897,0.108951232013,0.0943253174523,0.09262501198,0.0704495814463,0.067493919744,0.0550822535205,0.0454256890728,0.0523731588405,0.0518291227496,0.0136213029744,0.0102190820503,0.0300519843718,0.00816817589862,-0.0284769182951,-0.0240954117384,0.0399007951238,-0.00522286318979,0.0155088394887,-0.0197183007385,0.0122178794503,0.0200795299249,-0.0665690564065,-0.0562882965482,-0.0195200378078,-0.0367017616254,0.0380221200249,-0.0535372170098,-0.0331313722142,-0.00696676421657,-0.0470817705886,-0.0704589001015,-0.0747122674844,-0.0845121968783,-0.0984932054923,-0.0894741062867,-0.0954190695379,-0.102520523619,-0.102809690263,-0.100383791678,-0.0569900682778,-0.102077500203,0.0,0.0,-0.0687161709153,-0.119739447862,-0.134784673827,-0.112903679344,-0.0756647700389,-0.0331565315945,0.0150770312587,0.0565176557754,0.0798442376438,0.0934224725281,0.0986451116332,0.0946787644558,0.0860631028912,0.0726473207694,0.0648287575104,0.0559019607153,0.0483839105164,0.0435181739894,0.0304366752659,0.0211602621868,0.0181753896495,0.00781948644172,0.00273324717577,-0.0025560304913,-0.0179926418744,-0.0156747905418,-0.0267787818527,-0.0368813396679,-0.0337920848972,-0.0319417024066,-0.0380405702288,-0.0516079235419,-0.0414686601725,-0.0546930226699,-0.0590345896878,-0.0621857729228,-0.0697784395907,-0.050063143976,-0.0517889221371,-0.0602635804025,-0.0674927387777,-0.0666705881503,-0.0906848114089,-0.0718202329453,-0.0784765629607,-0.0905905375504,-0.0847415848125,-0.0859724252427,-0.077159585287,-0.0977226126199,-0.0943306626857,-0.0919543417542,-0.0874178564555,-0.100465875601,-0.108159607883,-0.107041569423,-0.107576649496,-0.117351760192,-0.123560366166,-0.125755444889,-0.132261378669
PCA_3,-0.185893675417,-5.55111512313e-17,-0.0,0.00191273281278,0.0466971284507,0.122212171081,0.199004689392,0.216104401923,0.199239510779,0.15924585017,0.120318264943,0.0926123008218,0.0570487068784,0.0314403395793,0.000172494600308,-0.0131380152496,-0.0570897097634,-0.0780203591994,-0.095153631395,-0.105823873572,-0.0850938143729,-0.121068725299,-0.115078472454,-0.111214740295,-0.050313592584,-0.0609085044565,-0.0770376540982,-0.0396865553324,-0.0374339521806,-0.0470182168517,-0.0487947593091,-0.0349140016554,-0.0259441164202,0.0187497048702,0.00254775754722,-0.0316352570752,-0.00318344610784,0.0700069302427,0.0367181675723,-0.0351706958111,0.0102687959997,-7.54845729856e-06,0.0357684892435,0.00675587706697,-0.000936809871195,0.05257650897,0.10632594919,0.0279487958935,0.0942079903681,-0.043734483003,0.088128091774,0.0225912541818,0.0502471627378,0.109944001829,0.034349686876,0.116179150371,0.123790531083,0.148376796516,0.11978047574,0.140539097838,0.146497798175,0.162152379406,0.131069986419,0.083424912969,-0.132662306815,-0.0,-0.0,0.0189390379173,0.0673206629157,0.124160223777,0.173837146142,0.196124997327,0.200022476585,0.19017631898,0.173113256861,0.152266775493,0.128793362643,0.112535352167,0.09816597843,0.0836388367901,0.0639569244449,0.0492465149904,0.0399418785502,0.0297309743178,0.0191639165787,0.00685484799684,-0.00108688200108,0.0082777140852,-0.00399826469214,-0.0117645879487,-0.0152398840569,-0.0248386935344,-0.0120994642394,-0.0244492661921,-0.0321409183923,-0.0297053607487,-0.0365966814543,-0.0391033392197,-0.0465348129792,-0.0489642340948,-0.0440623492848,-0.0580083107462,-0.0607292782694,-0.0703107603304,-0.0645262425681,-0.0508772066493,-0.0470703892962,-0.060075167711,-0.0773688348482,-0.0643228347897,-0.0630079386887,-0.0715175833364,-0.081574615692,-0.0829772068509,-0.0515247690918,-0.0804882164398,-0.0848990750762,-0.0493021909988,-0.0922520424509,-0.086924361597,-0.08400892394,-0.0746192290046,-0.0930561573091,-0.0889514424423,-0.0906563382736,-0.0888660803137,-0.0893015112782,-0.064490160041
PCA_4,-0.113897594551,-9.71445146547e-17,2.22044604925e-16,0.0692254462839,0.222883956203,0.278073904999,0.233576871954,0.11268285463,0.00754315260217,-0.0742936053239,-0.114170649746,-0.123677435068,-0.121608717241,-0.0878277892186,-0.0699366282096,-0.0514710933721,0.0274247520964,0.0353160987412,0.103390127613,0.0533722273527,0.0536728577359,0.103797932035,0.0791341348071,0.125895602198,0.0519129253393,0.0681353118476,0.0446466254022,0.046587157746,0.0646165761096,0.0651526302064,0.0626123416934,0.109632970237,0.158016882202,0.063025631615,0.106824815876,0.0594228699056,0.0871752697126,-0.015964609532,-0.0137010794252,0.219303614121,0.00565697728486,0.0512837487019,0.0434119996517,0.144080944818,0.177685516558,-0.0436021371207,-0.083940157721,0.0344715908475,0.0576681221922,0.182952648162,0.00816482148209,-0.02878859031,0.122728410732,0.0082501232211,-0.0663993066992,-0.11104345023,-0.104651879167,-0.124695126575,-0.128790628988,-0.11478729771,-0.127313632797,-0.120777899642,-0.121274317383,-0.116956884648,-0.0312386864313,0.0,0.0,0.116733580157,0.233975096872,0.260176389691,0.227030710271,0.158240981209,0.0896572946186,0.0259173561141,-0.0246829702257,-0.0539695526037,-0.0667999340924,-0.0693344944161,-0.0636796725735,-0.0568567920378,-0.043174094436,-0.0346040305782,-0.0274565907039,-0.0250548858177,-0.0174221154137,-0.0103853809254,-0.00935384266161,-5.72291773987e-08,0.00691916545969,0.00128560538165,-0.000828015677894,0.0016679762913,0.00346084057507,0.0200023708215,0.00877268514593,0.0155306774971,0.0110513153466,-0.000536120541331,0.00691393595799,-0.00222097317102,0.0155788920037,-0.00239178013773,-0.00200304049514,0.0221257229596,-0.0023181240759,-0.00528756639707,-0.01134445965,0.014892940766,-0.00365062784737,-0.0133715485916,-0.0179575113555,-0.0107516896248,-0.0130434923702,-0.000363268534419,-0.004243007786,-0.0265293397957,-0.00829796725045,-0.0169688857031,-0.0288392423603,-0.0517845019085,-0.0442561064929,-0.057923229653,-0.0534796857417,-0.0507467821975,-0.0604583774134,-0.0610771163657,-0.0562561938921,-0.0932191012375
PCA_5,-0.114000752233,2.77555756156e-17,-1.66533453694e-16,0.0292437438347,0.0852534109402,0.0840637372694,0.0638256009485,0.02385112726,-0.00638250460379,-0.0293355622122,-0.037311234132,-0.0378936454271,-0.0243142702188,-0.0333425433113,-0.0138242086116,-0.0250873192344,-0.0111209011633,0.139262636086,0.0792351927664,0.309160580017,0.0258710721818,0.42917184923,0.472578658463,0.382218486443,-0.0402898548208,-0.0589309796256,-0.0320610734447,-0.0433863649795,-0.0707190114006,-0.0345677725003,-0.0696074588571,-0.0844124513064,-0.107384568996,-0.07822622963,-0.108566454429,-0.0809567004797,-0.0768964900533,-0.00147209196463,-0.00862169605705,-0.160473888321,-0.0245809146723,-0.0126218846992,-0.0629383108374,-0.0935091408254,-0.144622476692,0.00535948617018,0.0696802269089,-0.0316107668236,-0.027646396046,-0.0991616646968,-0.0130330082809,0.00825635604543,-0.0564799482985,0.0273867137076,0.0289929829335,0.0851330027542,0.0847498357784,0.10010826171,0.10840624521,0.0908513210123,0.106903133625,0.105736920308,0.107457459886,0.0844331667837,-0.0904386401803,-0.0,-0.0,0.0389147965321,0.0739625237339,0.0630846983829,0.0482843481311,0.0231119478246,0.00111643613034,-0.0167669849781,-0.0267684169787,-0.0287065333212,-0.0220481412654,-0.0184953793929,-0.0126428064258,-0.00850629299471,-0.00416270787069,0.00288434776904,0.00585810503539,0.00963746953324,0.00364570415195,0.00866036974516,0.010685710724,0.00413802791323,-0.00139054101791,-0.00898312094123,-0.00966206481491,-0.014868263252,-0.0153101041659,-0.0179840859622,-0.0159927833815,-0.0180843822798,-0.0254249779543,-0.0252564989512,-0.0307867461523,-0.0270700391719,-0.0232094745957,-0.0227640505491,-0.0192346232854,-0.0304564418243,-0.0264239565479,-0.0285344537608,-0.0181805342039,-0.0138567259554,-0.0313773431017,-0.00925578588319,-0.00393502588469,-9.38033211196e-05,-0.00660684700045,-0.00878582561605,-0.00455719128325,-0.000934716545593,-0.00950168494066,0.0168379881274,0.00809037256582,0.0199139350202,0.0184205804366,0.0328057562423,0.0301569033352,0.0302121463894,0.0442984969758,0.0465779900657,0.0485623164613,0.0614959991466
PCA_6,0.106605631231,-3.46944695195e-18,-1.94289029309e-16,-0.0672370076662,-0.190022384691,-0.191474026766,-0.139296086187,-0.067051042886,-0.0286103544793,-0.0224205297144,-0.0278931788522,-0.0121284926963,-0.0267651174881,-0.00816832365416,-0.0532102540661,-0.047222984898,-0.0401775088939,-0.0280405121518,0.0498418590603,0.0203350337254,-0.104170495779,0.107443809674,0.112847285191,0.163202591885,-0.113371799663,-0.128459473595,-0.205085905549,-0.162043030965,-0.0952930669444,-0.209590756793,-0.091318484829,-0.0561011852435,0.0764116652332,-0.0202131496105,0.061361193035,-0.0577217282573,-0.0522682149378,-0.111266920733,-0.121031580101,0.282924172532,-0.200418358671,-0.125037217077,0.0646379727554,0.138444824293,0.321908501227,-0.10266060082,-0.0420584006083,0.0440465806258,0.218287738585,0.238846021818,0.0644613233381,-0.160349912432,0.250581191827,0.135159571446,-0.0747149940201,-0.00374214078465,-0.0170308285065,0.0458698818094,-0.00207310844201,0.0153995531054,0.0290313873825,0.0494786315459,0.0126520721164,0.0636340295681,0.136717364327,-0.0,-0.0,-0.0313343943158,-0.0949342174163,-0.0584864427921,-0.0101808849592,0.0420091486802,0.0749422628913,0.0854957811817,0.085830468138,0.0881181331607,0.0793276391515,0.0738181216751,0.065808959776,0.0625648486569,0.0515305179525,0.0369860620311,0.038026160944,0.0313226026151,0.0180217559776,0.0189955500032,0.0234549202616,0.0181314492422,0.00333392345418,-0.00730314324821,-0.00495140609651,0.00648483564245,0.0051963808152,-0.0245860187719,0.00153949919725,-0.00585664210607,-0.00550551236655,0.00603945279981,0.00737810146652,0.00368929291571,-0.00684177608242,-0.00718234523256,-0.00675702550779,0.0140726491845,-0.0277539519351,-0.0155637768824,0.0130434763931,-0.000834348229461,0.0342708067098,-0.00502983341699,-0.00726401567947,0.000945030751211,0.00556067975556,0.0260861946758,0.00271236875905,-0.0114581743948,0.0341893417634,0.00765154745063,-0.0153098621639,0.00903557623872,0.00648851526533,0.0196751116584,0.0167686640873,7.80724362809e-05,0.00926806425464,0.0156260472737,0.00556081546501,0.0371732044699
PCA_7,0.125617651737,-7.6327832943e-17,2.77555756156e-17,0.258473752983,0.190598072347,-0.0536685067058,-0.221847404393,-0.297821097486,-0.277548657044,-0.203985568058,-0.120502535799,-0.0499570661727,0.00581283309486,0.0378177316707,0.0575903739446,0.0556070074389,0.0533293423815,0.0444333471587,0.0222434942026,-0.00675202021382,0.0495972298215,-0.0410409323584,-0.0499888577899,-0.0616831513241,0.0403730737113,-0.00222109681799,-0.0152252369861,0.0287122267565,-0.0154820369826,-0.00281569825049,-0.0485174918984,-0.00749317221734,-0.00403281969957,0.0192405361825,-0.0131713512463,-0.0373140895754,0.0080146529049,0.0788084792396,0.021409779473,-0.0522491183441,0.00754154945449,0.00774174581425,-0.0348581436848,-0.00121555789974,-0.0317556617676,-0.0209489239861,0.0774480448706,-0.0410662261454,0.0415357433297,-0.0552800997818,0.0178148536283,0.00139151389857,0.0197835896679,0.0459034690901,-0.045183012334,0.0580557887592,0.0579269791252,0.0584624826766,0.0452897797294,0.0588052484121,0.0595969065245,0.0858550740547,0.0397147524491,-0.0164566504663,0.233969204005,0.0,0.0,0.348257603804,0.281812664824,0.126006493857,0.022047988079,-0.0426805740331,-0.0620176735524,-0.0471797499295,-0.0106842905481,0.0371396244823,0.071722572024,0.0979722742604,0.116003766718,0.119017037154,0.121369074973,0.114283909984,0.110376165706,0.103706032523,0.106901923572,0.0995541605763,0.104245887436,0.0832519570896,0.0928596960089,0.0640433977186,0.0515780703183,0.061232228646,0.036362103974,0.0329946625338,0.012724130555,0.0146188058514,0.0233411552963,0.0270431714181,0.00390075946415,0.0217728028532,0.00974470252095,0.02174231334,0.00734178664767,-0.023075632781,-0.0175347634414,-0.0238675232008,-0.0414760980658,0.00536851984057,-0.0104072445006,-0.0512947719122,-0.0370994779149,-0.0524382599669,-0.0333760496184,-0.0434503042262,-0.0461705370406,-0.0395513002817,-0.0333770417684,-0.0709271916455,-0.0546364740798,-0.0546333359032,-0.065614459431,-0.0781789428067,-0.0616429403396,-0.0823885284931,-0.0697165635814,-0.073962573807,-0.0880388244443,-0.0999999250172
PCA_8,0.165730112484,7.6327832943e-17,-8.32667268469e-17,-0.238347069428,-0.284059945066,-0.117218233409,-0.0296353808502,0.00785646548022,-0.0141680051892,-0.0601207505415,-0.0927622710086,-0.113965683832,-0.13555872859,-0.139057365266,-0.147564083675,-0.116636019758,-0.147816289759,-0.102305380637,-0.110442888549,0.0614539256118,-0.122328117876,0.114748612374,0.138747856036,0.145553699201,0.0412789099828,0.0393522265895,0.0179504636725,0.0874307742037,0.065456725081,0.0682663825354,0.0362852920702,0.0466050668985,-0.000663975103144,0.0973269227515,0.0763760806404,0.0228921889867,0.093000175363,0.175475476041,0.0976264941556,-0.082501573969,0.146068368532,0.0153338032709,0.00370443056423,-0.0103258690648,-0.0591053415348,0.045428451737,0.0703290293123,-0.0518621686576,-0.0343545709159,-0.178298893277,0.0281444922398,0.085956119045,-0.0952919971722,-0.0356835058443,-0.0263285925751,-0.0120835002052,0.0122019751758,-0.0246846961287,-0.0304539789899,-0.00983484516948,-0.0296640209495,0.00562669102207,-0.0366433893129,-0.112342046681,0.21250369675,-0.0,-0.0,-0.196264509353,-0.161970101838,0.00437840214558,0.0741319128598,0.114750330118,0.118086366592,0.0909234119217,0.057297830926,0.0367212096194,0.0113546000346,0.00234126040559,-0.00372147907752,0.00628018720879,0.010611197822,0.0131312010729,0.0166459850806,0.0324838798007,0.0350016808497,0.0405787708122,0.0426488703528,0.050943741045,0.0548058017486,0.0586730389053,0.0571302349472,0.0713766299564,0.0654436302134,0.0758849938152,0.0723507778084,0.067309145333,0.0659973154965,0.0702204978037,0.0733437134896,0.0536834703298,0.0514907810655,0.0581051217686,0.0497462749511,0.0343444472073,0.0707680055857,0.0344468848663,0.0146482114468,0.0140150690005,0.0174378034118,-0.00231987618168,-0.00739084290371,-0.0475745324525,-0.0326967691668,-0.0467038072181,-0.0137468358017,-0.031025143885,-0.0312763619106,-0.0632697951986,-0.075440361078,-0.104536100685,-0.0860858782439,-0.119124100233,-0.122134252128,-0.137068690832,-0.159056566048,-0.13786582918,-0.14045152492,-0.157813394738
