,f1,cm,acc,recall,prec
MSL_1,0.781818181818,0.641791044776,0.878378378378,0.914893617021,0.68253968254
MSL_2,0.493392070485,0.327485380117,0.611486486486,0.794326241135,0.357827476038
MSL_3,0.850420168067,0.739766081871,0.849662162162,0.816129032258,0.887719298246
MSW_1,0.551236749117,0.380487804878,0.785472972973,0.821052631579,0.414893617021
MSW_2,0.8014571949,0.668693009119,0.815878378378,0.842911877395,0.763888888889
MSW_3,0.770161290323,0.626229508197,0.807432432432,0.809322033898,0.734615384615
CHH_1,0.745406824147,0.594142259414,0.836148648649,0.802259887006,0.696078431373
CHH_2,0.649517684887,0.480952380952,0.631756756757,0.798418972332,0.547425474255
CHH_3,0.682666666667,0.518218623482,0.798986486486,0.79012345679,0.600938967136
FC_1,0.845553822153,0.732432432432,0.83277027027,0.854889589905,0.836419753086
FC_2,0.612612612613,0.441558441558,0.782094594595,0.85,0.478873239437
FC_3,0.798816568047,0.665024630542,0.885135135135,0.870967741935,0.737704918033
BF_1,0.83358778626,0.714659685864,0.815878378378,0.832317073171,0.834862385321
BF_2,0.501960784314,0.335078534031,0.785472972973,0.727272727273,0.383233532934
BF_3,0.731182795699,0.576271186441,0.831081081081,0.772727272727,0.69387755102
EMP_1,0.68068833652,0.515942028986,0.717905405405,0.717741935484,0.647272727273
EMP_2,0.713709677419,0.554858934169,0.760135135135,0.876237623762,0.602040816327
EMP_3,0.75974025974,0.612565445026,0.875,0.823943661972,0.704819277108
